年月,總計,占全體企業放款餘額之比率,占民營企業放款餘額之比率,中小企業放款平均逾放比,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)銀行,澳盛銀行,中華開發工業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)銀行,台新國際商業銀行,大眾商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,樂天銀行
101年1月,"4,055,054",46.66%,51.05%,0.61%,"263,099","293,108","478,761","482,736","344,881","291,965","122,647","81,405","106,852","5,669","39,190","267,462","7,057",824,259,"3,978","353,180","21,565","100,244","17,978","3,208","3,296","26,476","79,003","36,311","21,141","14,277","27,522","10,467","76,706","86,743","160,553","14,040","21,459","53,799","3,667","14,528","49,195","69,803",
101年2月,"4,075,178",46.92%,51.10%,0.62%,"264,208","298,663","478,300","488,109","343,660","292,392","122,318","82,900","108,212","5,435","39,794","266,250","6,896",860,206,"3,935","350,826","21,412","100,457","18,353","3,003","3,186","26,824","79,930","37,348","21,305","14,081","27,800","10,752","77,073","87,602","163,412","14,023","21,453","55,033","3,795","14,936","51,654","68,782",
101年3月,"4,099,477",47.26%,51.32%,0.62%,"262,847","303,119","478,098","488,705","346,456","289,960","122,924","81,408","109,040","5,555","40,540","266,251","7,168",828,209,"3,869","351,186","21,223","103,532","18,715","2,738","3,392","26,975","83,265","40,452","21,355","13,939","28,176","11,749","74,109","90,473","167,502","14,344","21,474","56,600","5,641","14,811","52,199","68,650",
101年4月,"4,135,777",47.50%,51.56%,0.61%,"265,582","308,289","476,561","488,775","349,610","291,515","125,765","79,662","112,014","5,608","39,811","269,206","7,091",910,195,"3,243","346,750","21,074","105,221","19,989","2,769","3,284","29,163","87,126","41,655","21,063","14,047","28,781","11,195","78,632","92,883","170,101","14,249","21,262","57,902","8,107","14,575","51,134","70,978",
101年5月,"4,204,687",47.93%,51.90%,0.58%,"266,758","311,252","479,635","501,257","353,399","296,075","128,324","80,622","112,105","5,642","40,119","272,303","7,427","1,167",195,"3,198","349,853","21,128","108,327","21,240","2,841","3,278","30,120","90,991","42,845","20,824","14,543","29,534","11,623","79,966","96,199","175,217","14,091","21,571","60,402","10,400","14,574","52,280","73,362",
101年6月,"4,272,456",48.94%,52.96%,0.55%,"267,711","313,829","479,558","514,151","354,197","298,741","130,589","81,534","112,208","5,821","40,316","281,470","8,010","1,315",190,"3,229","352,638","20,880","111,694","21,511","3,010","3,258","30,283","95,297","45,911","21,351","14,913","29,903","11,671","81,092","103,231","177,444","14,449","22,127","64,001","10,868","14,557","52,694","76,804",
101年7月,"4,291,460",48.88%,53.00%,0.57%,"266,699","316,899","476,545","517,382","358,523","303,669","129,488","80,604","114,557","5,988","40,197","283,382","7,581","1,632",182,"2,861","356,066","20,259","113,003","21,048","2,907","3,190","29,756","96,745","47,578","21,540","15,068","30,152","11,543","79,879","105,470","177,572","15,056","21,883","60,337","11,360","14,697","49,794","80,368",
101年8月,"4,307,748",48.72%,52.72%,0.58%,"283,867","315,714","475,180","513,983","356,135","305,991","128,236","81,740","110,406","6,077","40,491","285,943","7,449","1,601",160,"2,028","354,556","19,939","114,279","22,809","2,995","3,122","29,459","98,177","48,932","22,127","15,389","29,561","11,246","81,599","102,678","179,806","14,775","22,342","60,765","11,713","13,791","50,944","81,743",
101年9月,"4,323,143",48.98%,52.81%,0.57%,"286,808","314,646","473,849","510,621","354,224","308,140","129,707","81,791","109,289","6,043","40,509","291,091","7,525","1,758",139,"2,022","356,876","19,936","115,126","22,823","2,877","3,113","29,401","99,982","50,689","22,040","15,699","30,334","12,157","80,818","105,506","180,391","14,631","23,274","60,103","12,982","13,984","49,098","83,141",
101年10月,"4,346,751",49.21%,52.96%,0.55%,"280,700","315,622","472,299","512,577","356,605","310,560","132,474","79,765","110,069","6,516","41,348","289,573","7,468","1,664",139,"2,043","357,342","19,860","121,791","24,617","3,012","3,075","28,983","102,224","50,055","21,672","15,597","30,746","12,462","79,489","106,640","183,587","14,558","23,575","62,603","13,472","14,913","50,978","86,078",
101年11月,"4,382,562",49.62%,53.37%,0.54%,"284,590","315,303","476,227","514,259","360,062","312,991","133,978","81,398","109,087","6,411","40,751","291,660","7,506","1,562",138,"1,969","361,253","19,944","124,619","24,361","3,272","3,112","28,559","105,677","50,816","21,725","15,816","30,920","13,111","79,899","109,973","186,286","13,684","22,634","62,028","14,382","15,009","50,461","87,129",
101年12月,"4,447,908",50.18%,53.94%,0.51%,"284,140","314,457","484,838","523,496","366,217","309,485","137,293","85,099","107,276","6,270","40,701","290,919","7,418","1,704",268,"1,826","374,169","21,685","128,720","24,627","3,845","3,388","28,637","110,268","53,604","21,019","16,543","31,330","14,123","78,525","113,403","188,767","14,224","21,894","66,583","16,742","16,773","48,246","89,386",
102年1月,"4,422,145",50.38%,54.10%,0.50%,"291,819","309,651","475,811","520,938","358,577","305,153","136,852","85,561","105,447","6,700","40,792","286,374","7,689","1,752",259,"1,806","367,996","20,920","126,028","24,804","2,822","3,223","28,552","109,571","55,756","21,266","16,713","30,973","15,267","78,129","114,865","190,918","14,420","22,234","62,933","17,731","16,649","49,788","95,406",
102年2月,"4,438,154",50.40%,54.10%,0.55%,"295,387","309,699","478,012","522,771","358,802","305,133","138,665","82,374","107,206","6,639","41,672","287,298","7,630","1,767",298,"1,798","367,830","20,950","126,644","25,241","2,552","3,142","28,450","108,725","57,144","21,530","16,769","30,933","15,694","78,932","115,944","190,244","14,704","22,323","61,936","18,628","16,685","48,527","99,476",
102年3月,"4,478,746",50.89%,54.61%,0.54%,"298,059","311,369","481,474","520,640","364,878","303,219","139,563","83,989","106,809","6,914","42,838","290,731","7,472","1,739",309,"1,980","370,380","21,183","126,730","25,712","2,497","3,102","28,148","108,436","58,234","21,201","16,865","32,444","15,939","80,149","115,783","196,759","15,253","26,255","66,250","19,919","16,589","52,634","96,301",
102年4月,"4,493,744",51.01%,54.74%,0.61%,"302,718","313,346","482,797","519,176","365,655","303,593","139,341","88,028","106,213","6,917","45,771","290,645","7,528","1,790",343,"1,971","368,257","20,996","130,641","24,800","2,544","3,344","27,723","109,087","58,577","21,090","17,015","32,191","15,619","79,009","114,832","197,550","15,163","22,380","67,497","21,125","16,770","50,383","101,319",
102年5月,"4,528,257",51.28%,55.01%,0.60%,"307,243","315,200","481,069","525,191","367,569","300,256","141,776","88,063","106,398","7,219","45,176","294,106","7,977","1,695",347,"2,029","372,765","20,252","136,199","24,651","2,618","3,392","26,762","110,468","59,315","21,671","17,217","32,676","15,099","79,609","116,354","200,088","15,355","21,784","68,395","21,934","17,192","50,029","103,118",
102年6月,"4,570,427",51.46%,55.28%,0.61%,"314,172","316,031","481,375","524,613","373,115","304,813","143,532","87,724","104,091","7,160","43,948","300,178","8,007","1,783",352,"2,148","374,918","20,447","140,534","26,142","2,525","3,421","27,038","111,794","60,057","22,246","17,595","32,408","15,942","80,583","117,521","203,200","15,134","21,550","70,697","23,362","17,267","50,270","102,734",
102年7月,"4,593,705",51.51%,55.38%,0.61%,"319,325","318,713","483,780","530,295","374,166","302,269","142,817","88,383","104,371","7,129","44,965","300,666","7,597","1,881",341,"2,164","375,603","20,250","142,350","25,638","2,374","4,404","26,476","111,219","59,381","22,528","17,826","33,159","15,685","80,223","117,529","205,843","15,270","21,060","69,776","23,089","16,684","51,295","107,181",
102年8月,"4,609,562",51.84%,55.60%,0.61%,"325,279","318,197","489,821","530,912","373,756","302,709","145,847","88,476","103,150","7,233","44,706","306,587","7,301","1,821",420,"2,429","375,941","19,877","143,871","25,627","2,167","4,452","25,964","109,136","59,879","22,625","18,077","33,608","15,442","80,963","114,766","207,936","15,103","18,653","69,844","22,447","16,472","50,867","107,201",
102年9月,"4,663,608",51.92%,55.72%,0.62%,"327,035","320,834","498,794","536,411","375,493","305,306","150,221","84,955","103,821","7,320","45,326","315,591","7,119","1,692",396,"2,346","379,051","20,249","145,202","27,072","2,029","4,181","25,308","112,076","59,911","23,121","18,250","32,986","16,298","83,208","115,175","211,409","14,934","18,372","68,327","25,956","16,867","48,486","112,480",
102年10月,"4,700,369",52.23%,55.99%,0.61%,"329,335","322,330","502,940","536,032","379,700","305,596","151,310","82,928","104,698","7,333","45,160","317,024","7,146","1,271",375,"2,395","387,355","20,648","146,683","27,313","1,958","4,229","25,309","115,566","61,307","23,651","18,361","33,294","16,723","82,358","116,439","213,247","14,459","17,874","68,121","26,251","16,646","50,478","116,526",
102年11月,"4,701,777",52.14%,55.91%,0.59%,"330,608","320,209","506,405","533,497","375,899","303,131","151,782","79,710","105,590","7,426","43,849","318,129","6,768","1,268",381,"2,802","392,862","20,206","145,692","27,280","2,290","4,103","23,098","118,193","61,122","24,236","18,584","31,696","16,918","82,075","118,662","217,523","14,100","17,744","69,219","27,526","16,129","47,848","117,217",
102年12月,"4,761,913",52.82%,56.67%,0.56%,"333,712","324,974","511,219","545,859","379,258","310,322","152,545","81,685","107,550","7,361","45,538","330,945","6,287","1,425",615,"2,886","391,603","20,976","149,173","29,087","1,973","4,497","23,523","111,467","62,692","27,381","18,329","33,149","16,123","83,423","122,183","219,041","14,127","17,231","70,460","29,362","17,268","44,906","111,758",
103年1月,"4,752,502",52.99%,56.62%,0.59%,"331,402","324,804","507,260","541,836","376,924","309,812","149,941","81,467","108,476","7,270","45,734","326,447","6,243","1,451",642,"3,024","389,242","19,616","148,118","28,644","2,192","4,263","23,576","117,306","62,460","30,741","18,210","34,144","16,656","83,391","120,589","216,261","14,062","17,454","73,416","30,864","17,114","45,211","116,239",
103年2月,"4,767,156",52.98%,56.89%,0.60%,"331,178","324,867","509,031","539,927","374,697","311,815","150,562","81,136","109,298","7,247","45,658","324,362","5,992","1,442",602,"2,809","393,166","19,443","148,751","29,279","2,199","4,132","23,139","119,225","62,690","31,994","18,246","35,058","17,317","85,899","120,133","216,271","14,048","17,838","76,092","30,548","16,988","46,819","117,258",
103年3月,"4,797,250",53.50%,57.30%,0.60%,"332,432","324,337","510,649","538,798","378,626","318,714","150,820","83,288","109,745","6,958","46,647","330,071","6,258","1,520",603,"2,803","396,437","19,412","149,557","29,693","2,217","4,175","23,370","120,216","62,013","32,969","18,183","35,752","17,453","87,095","120,534","217,712","14,216","18,028","76,576","31,228","16,819","47,257","114,069",
103年4月,"4,825,634",53.57%,57.41%,0.60%,"334,981","324,577","511,718","543,355","380,661","322,979","151,392","84,300","110,696","6,989","47,147","329,156","5,992","1,566",616,"2,973","396,184","19,388","150,500","30,435","2,228","4,166","24,114","120,431","63,388","34,546","18,504","36,361","17,213","86,837","121,016","219,209","14,246","18,273","74,026","31,798","16,349","47,267","120,057",
103年5月,"4,863,857",53.86%,57.66%,0.58%,"338,225","319,646","511,164","555,030","379,574","325,373","153,266","86,614","110,886","7,039","47,840","328,455","6,209","1,689",618,"3,091","402,319","19,226","153,688","30,665","2,221","4,580","24,000","115,700","66,754","35,753","18,479","36,727","18,171","87,597","121,281","221,905","15,032","19,088","76,622","33,336","16,280","44,312","125,402",
103年6月,"4,930,731",54.20%,57.88%,0.55%,"343,364","320,042","514,892","562,656","384,703","331,918","154,300","89,605","110,200","7,316","48,651","332,741","6,297","1,674",658,"3,320","405,282","19,333","156,119","31,606","2,245","5,406","25,552","118,265","69,373","37,433","19,173","38,250","18,592","90,407","122,732","225,476","15,483","18,324","81,743","35,684","16,383","44,134","121,399",
103年7月,"4,965,612",54.34%,57.92%,0.55%,"342,865","321,340","519,034","561,326","384,057","336,321","154,785","91,715","111,166","7,512","49,494","337,608","6,116","1,677",659,"3,305","402,899","18,790","157,216","31,365","2,119","6,292","24,833","119,496","69,844","37,023","19,520","38,066","19,345","91,831","123,510","227,775","15,212","17,725","80,927","39,731","16,500","46,704","129,909",
103年8月,"4,993,265",54.12%,57.78%,0.54%,"345,468","326,754","521,288","566,159","382,705","337,464","156,745","90,841","112,772","7,547","49,452","335,403","6,169","1,689",773,"3,340","406,225","18,742","157,992","31,813","2,106","6,644","25,346","120,959","72,753","37,797","19,415","38,529","19,450","91,567","125,361","230,813","15,157","17,289","80,431","40,643","16,018","44,607","129,039",
103年9月,"5,030,018",54.50%,58.22%,0.56%,"346,007","330,450","522,851","571,900","390,009","341,143","157,543","89,875","113,992","7,644","48,549","340,046","6,041","1,793",594,"3,385","412,950","18,877","157,852","33,220","2,213","7,099","25,405","121,954","73,596","38,359","19,615","38,704","18,348","92,276","126,419","232,911","14,880","16,689","80,850","42,547","16,504","41,860","125,068",
103年10月,"5,075,814",54.80%,58.44%,0.55%,"350,105","330,642","524,232","570,594","401,805","344,272","155,448","90,960","114,685","7,876","49,034","345,737","6,318","1,742",473,"3,589","418,800","18,742","158,124","34,512","1,979","7,207","25,739","124,763","76,513","38,381","19,462","39,629","17,942","92,914","126,442","233,366","14,462","16,068","80,983","44,526","16,035","40,201","131,512",
103年11月,"5,102,875",55.14%,58.66%,0.52%,"350,486","330,856","525,131","572,989","403,701","344,720","153,579","90,731","114,810","7,778","48,908","348,803","6,760","1,783",405,"3,695","426,044","18,226","159,298","34,441","1,858","7,329","26,040","126,058","76,570","39,149","19,490","40,372","17,964","94,020","124,960","238,231","14,596","15,559","82,575","44,748","16,656","40,145","133,411",
103年12月,"5,165,334",55.69%,59.12%,0.44%,"343,229","334,901","520,200","585,538","414,658","363,930","156,315","93,431","116,454","8,054","50,612","359,005","6,573","1,784",521,"3,584","431,658","17,403","161,225","36,953","2,034","7,817","25,698","127,283","76,240","40,635","19,945","39,932","16,229","94,360","120,976","239,966","14,252","15,108","90,843","44,456","17,243","37,603","128,686",
104年1月,"5,116,585",55.67%,59.16%,0.45%,"333,196","333,189","523,691","571,480","409,734","351,050","151,881","92,741","115,478","8,180","49,548","355,388","6,447","1,739",507,"3,817","426,489","17,124","158,278","39,225","2,205","7,453","25,722","127,116","78,476","41,003","20,101","40,640","16,361","93,196","122,427","236,376","14,096","15,145","90,227","43,896","18,031","37,667","137,265",
104年2月,"5,156,094",55.82%,59.29%,0.48%,"333,508","334,075","532,551","571,780","412,337","356,282","153,862","93,474","116,038","8,237","49,684","359,578","6,615","1,701",488,"3,795","428,711","16,844","158,133","39,246","2,240","7,367","26,045","127,498","79,791","42,128","20,534","41,146","16,572","94,626","122,371","236,466","14,127","14,562","91,846","42,911","18,607","39,002","141,316",
104年3月,"5,186,834",56.32%,59.85%,0.45%,"333,822","336,864","534,091","568,469","411,295","362,948","153,617","97,672","116,522","8,080","49,184","362,488","6,858","1,621",507,"3,970","433,731","16,268","157,844","40,463","2,093","7,418","26,353","127,384","81,649","42,480","20,477","41,533","17,050","97,673","122,139","239,387","14,106","13,955","99,032","42,027","19,446","38,895","137,423",
104年4月,"5,217,489",56.82%,60.36%,0.45%,"336,911","339,922","534,628","564,953","412,602","357,616","155,048","108,902","116,583","8,043","49,181","371,794","6,777","1,447",520,"4,075","431,134","15,918","159,573","40,319","1,860","7,403","26,203","127,130","83,466","43,133","20,736","41,917","17,173","101,493","122,226","243,436","13,504","13,394","100,678","36,783","19,945","38,841","142,222",
104年5月,"5,278,200",57.19%,60.68%,0.45%,"336,844","343,926","539,530","567,791","416,735","368,079","158,280","110,318","116,984","7,465","48,798","378,084","7,095","1,332",0,"4,183","436,263","15,539","160,414","38,706","1,939","7,442","25,984","129,133","84,718","43,186","20,904","44,092","17,916","101,937","125,520","250,712","13,513","13,191","102,319","36,023","20,260","38,918","144,127",
104年6月,"5,338,214",57.62%,61.14%,0.45%,"337,530","345,057","542,845","573,802","419,533","369,955","163,414","112,841","126,816","7,389","49,277","384,275","7,011","1,433",0,"4,266","444,275","14,970","161,076","39,914","2,093","7,561","26,957","129,344","84,881","42,362","21,051","43,152","17,772","103,756","126,742","253,062","13,292","13,264","104,276","35,068","21,134","40,331","146,437",
104年7月,"5,351,987",57.50%,60.99%,0.44%,"334,168","347,290","546,319","568,887","416,389","377,317","163,683","114,267","126,341","7,276","49,351","389,114","7,115","1,315",0,"4,249","445,337","14,797","162,929","38,996","2,009","7,419","26,413","128,509","85,456","41,709","21,569","43,465","17,566","104,613","129,446","254,416","12,698","13,153","102,307","36,137","21,645","36,465","151,852",
104年8月,"5,363,771",57.35%,60.75%,0.46%,"332,511","346,370","547,743","573,469","419,282","380,050","163,392","114,193","126,211","7,720","49,990","389,816","7,167","1,202",0,"4,226","447,755","14,286","162,579","38,501","1,967","7,231","27,073","129,922","85,495","41,833","21,889","43,784","18,308","103,933","129,677","253,726","12,690","13,130","100,707","33,994","22,328","36,030","153,591",
104年9月,"5,380,063",57.26%,60.55%,0.46%,"333,531","347,900","551,577","580,367","419,284","384,223","164,911","113,899","125,892","7,750","50,362","388,850","7,818","1,165",0,"4,221","449,456","13,679","161,936","38,851","1,968","7,171","27,794","129,208","84,949","40,844","22,160","44,355","18,467","104,496","131,394","252,643","12,370","12,846","100,791","34,126","22,150","35,877","150,782",
104年10月,"5,372,556",57.29%,60.68%,0.45%,"334,521","345,901","551,569","583,618","418,368","378,257","164,012","112,361","124,733","7,494","50,665","389,288","7,486","1,144",0,"4,194","448,531","13,577","160,259","38,597","1,931","7,229","27,979","126,554","86,521","40,750","21,869","44,482","18,506","105,451","131,735","255,900","11,743","13,196","100,614","33,560","21,936","34,977","153,048",
104年11月,"5,416,304",57.50%,60.90%,0.41%,"340,334","346,006","558,766","588,046","426,010","380,055","167,840","112,088","123,445","7,247","49,855","396,007","7,713","1,148",0,"4,116","450,358","13,482","161,863","40,518","2,146","7,317","28,595","125,354","85,638","41,069","21,752","45,305","18,230","105,035","132,721","264,365","11,531","12,965","98,114","32,875","22,309","34,794","151,292",
104年12月,"5,456,239",57.89%,61.34%,0.40%,"338,494","343,130","561,766","608,231","430,241","385,264","172,915","116,737","118,841","7,913","49,721","400,830","7,161",948,0,"3,438","457,910","12,642","164,927","40,674","1,607","7,669","29,804","121,469","86,183","41,253","21,784","44,176","18,045","105,114","131,690","264,032","11,569","12,273","99,374","32,704","22,977","32,483","150,250",
105年1月,"5,393,281",57.82%,61.12%,0.44%,"334,840","343,150","556,536","589,843","425,983","377,972","168,277","115,938","118,017","7,771","48,607","395,907","7,105",749,0,"3,727","440,877","12,493","165,773","41,112","1,629","7,565","31,410","119,186","89,460","41,796","21,935","44,676","17,706","106,333","131,432","259,543","11,516","10,908","99,820","34,710","22,691","32,017","154,271",
105年2月,"5,387,877",57.88%,61.01%,0.46%,"330,736","341,848","562,857","585,297","425,454","378,158","168,319","115,003","118,830","7,651","48,313","393,439","7,338",835,0,"3,726","439,149","12,366","166,206","40,625","1,545","7,725","31,429","119,461","90,872","41,969","22,140","44,910","18,263","108,116","130,685","254,812","11,962","10,408","101,278","34,477","23,052","32,400","156,223",
105年3月,"5,419,874",57.89%,61.02%,0.46%,"329,319","341,557","565,097","595,086","430,511","380,194","167,617","114,200","119,109","7,467","48,459","397,074","7,340",660,0,"3,855","442,158","11,795","165,208","39,703","1,306","7,795","31,314","118,031","90,707","42,867","22,566","45,542","17,394","108,236","135,520","259,961","13,110","9,501","101,556","35,603","23,095","31,957","157,404",
105年4月,"5,426,647",58.57%,61.71%,0.48%,"330,318","341,302","565,316","597,635","433,495","377,534","170,898","115,879","119,295","7,557","48,646","394,570","7,530",572,0,"3,813","437,284","11,522","167,158","40,485","1,230","7,698","31,271","118,570","93,126","43,168","22,576","46,356","18,043","106,318","134,079","259,309","12,791","8,740","101,018","36,139","23,569","31,730","160,107",
105年5月,"5,482,774",58.48%,61.50%,0.48%,"334,940","344,611","566,405","605,289","435,818","376,767","173,569","118,178","122,126","7,458","48,699","397,713","7,660",524,0,"4,053","441,596","11,423","169,424","40,902","1,168","7,252","31,827","119,365","94,938","46,061","23,321","47,919","18,212","106,210","137,126","264,238","12,592","8,421","105,301","35,916","23,699","31,277","160,776",
105年6月,"5,544,618",58.73%,61.74%,0.47%,"333,848","340,070","566,241","610,568","440,045","396,424","174,254","121,937","122,606","7,306","50,377","407,230","7,254",448,0,"4,131","450,664","10,565","172,656","41,769","1,178","7,447","32,618","121,859","96,086","46,176","23,548","48,523","18,935","105,731","140,320","266,043","12,148","7,978","107,991","35,125","23,680","31,493","159,346",
105年7月,"5,512,656",58.27%,61.21%,0.49%,"331,095","333,530","563,561","614,838","436,794","385,307","175,026","121,900","121,527","7,133","50,705","408,742","7,038",439,0,"4,085","425,298","10,688","174,532","41,839","1,365","7,550","32,702","119,521","96,257","46,321","23,774","49,779","20,548","104,766","143,740","270,324","12,329","16,396","103,453","34,323","22,618","30,284","162,529",
105年8月,"5,534,713",57.79%,60.65%,0.47%,"331,017","333,500","562,081","620,694","440,480","382,183","175,747","123,246","121,412","7,170","52,007","416,576","6,729",365,0,"3,625","420,200","10,723","173,441","41,470","1,458","7,530","33,031","117,345","95,617","46,077","24,313","49,799","21,329","104,997","145,894","276,395","12,633","21,676","103,602","34,769","22,421","31,472","161,689",
105年9月,"5,559,452",57.93%,60.72%,0.48%,"330,662","333,706","564,385","625,085","443,211","381,275","175,417","123,840","123,901","8,044","51,786","417,346","6,215",338,0,"3,771","423,006","10,677","173,138","45,319","1,449","7,519","32,539","118,464","96,692","45,154","24,418","47,325","21,473","106,388","145,675","281,454","12,698","22,025","105,270","35,143","22,625","31,932","160,087",
105年10月,"5,582,519",58.15%,60.90%,0.50%,"333,189","336,749","568,111","628,880","445,818","387,068","176,145","123,586","124,040","7,870","51,104","412,414","5,904",338,0,"3,893","420,923","10,701","173,154","45,492","1,273","7,560","32,159","116,444","96,687","45,386","24,650","47,584","21,494","106,065","145,927","285,670","12,929","23,781","108,195","34,799","22,817","31,426","162,294",
105年11月,"5,608,112",58.23%,61.02%,0.48%,"335,504","338,142","569,587","637,643","446,015","388,607","175,373","122,509","126,491","7,446","51,966","409,536","5,854",28,0,"3,781","421,333","10,540","176,318","45,605",849,"7,622","32,131","118,722","98,950","45,583","25,184","47,082","21,422","106,623","147,140","289,431","14,058","23,578","107,731","34,394","22,972","31,272","161,090",
105年12月,"5,735,472",58.83%,61.60%,0.44%,"344,394","339,905","580,997","647,774","458,621","408,330","182,848","123,159","130,895","7,082","53,603","421,410","5,362",28,0,"3,589","432,831","10,321","177,488","46,723",752,"7,849","30,814","121,341","100,930","44,138","25,645","47,005","22,533","113,035","143,398","295,034","14,536","26,292","107,641","37,641","23,458","31,252","166,818",
106年1月,"5,703,101",58.73%,61.49%,0.43%,340161,337714,580852,638163,448430,408125,182762,123274,131172,7229,52163,416316,5073,22,0,3648,418535,10221,175696,47311,932,7670,31526,120768,101870,43788,25942,47917,23782,113373,144821,296653,14924,27016,112034,37441,24830,30321,170626,
106年2月,"5,721,218",58.90%,61.64%,0.45%,337596,344003,583001,640074,447835,405873,184619,122269,131778,7371,53525,419161,5350,22,-,4379,418033,9816,175522,47328,759,7677,31190,120220,102383,43972,25984,47780,23772,113824,143840,296969,15402,27581,113674,37431,26628,31708,172869,
106年3月,"5,746,671",59.13%,61.87%,0.44%,336493,338529,585832,643545,449233,412311,185432,125050,134731,7306,53209,416957,4986,20,-,4757,423227,9370,175901,49548,820,7994,31168,120080,103781,44161,26625,48238,24627,114882,144996,300578,15635,28728,111619,36737,27457,32030,170078,
106年4月,5769342,59.19%,61.89%,0.46%,336302,340901,586012,644836,453612,411195,187677,126381,134377,7294,53369,418700,5068,20,-,4884,422050,9440,176020,49201,954,8107,30702,118992,103392,45174,26848,48759,25217,114400,145629,305612,15759,28704,112936,36816,27383,31799,174819,
106年5月,5826139,59.12%,61.80%,0.46%,336656,342209,592787,646082,463665,416085,190648,125702,135358,7326,53633,427195,5367,20,-,5075,424514,7201,177226,49278,1108,8409,30768,119518,104905,46575,27003,49681,25334,113999,147815,313773,16412,28556,112759,36209,27560,31741,177985,
106年6月,5869274,59.68%,62.35%,0.45%,337565,345726,593460,647833,465953,414477,192613,127623,136747,7444,53430,432034,5930,6,-,5607,434453,7161,177240,51955,1051,8890,30851,122100,108301,45881,26989,49858,25314,114458,146380,315094,17075,28592,116012,36841,28212,34156,175963,
106年7月,5882917,59.60%,62.31%,0.45%,337592,348224,589901,648231,469757,418156,193544,126722,138364,7668,54325,427728,5887,6,-,6779,432506,7177,175573,52800,993,8907,30634,118070,110454,45826,27226,50688,25532,113484,146723,320741,17715,29183,116759,35053,28919,34923,180148,
106年8月,5921878,59.17%,61.84%,0.45%,336313,353808,593995,650745,472651,423797,195224,126502,138975,7437,54652,430682,6361,6,-,6836,439540,6931,175013,54389,1002,8916,30323,117551,110730,45802,27339,51551,25500,113233,149704,323105,18210,30008,118116,34727,29255,30542,182407,
